now,ticks,Tx,Rx,lost,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017/01/15 01:54:55,1200000000.000000,119343.000000,119343.000000,0.000,100.000000,-1.000000,0.200000,2.432821e-02,0.002245,0.977650,0.000000
2017/01/15 01:55:02,1200000000.000000,239626.000000,239626.000000,0.000,200.000000,-1.000000,0.400000,1.330564e-01,0.002666,0.895246,0.000000
2017/01/15 01:55:11,1200000000.000000,359444.000000,359444.000000,0.000,300.000000,-1.000000,0.600000,4.486948e-01,0.003498,0.729643,0.000000
2017/01/15 01:55:19,1200000000.000000,480534.000000,480534.000000,0.000,400.000000,-1.000000,0.800000,1.635143e+00,0.006083,0.441787,0.000000
2017/01/15 01:55:29,1200000000.000000,599908.000000,599908.000000,0.000,500.000000,-1.000000,1.000000,4.926491e+02,0.987354,0.000441,0.000000
2017/01/15 01:55:39,1200000000.000000,599998.000000,599998.000000,0.000,600.000000,-1.000000,1.200000,5.987474e+04,99.963915,0.000010,0.000000
2017/01/15 01:55:49,1200000000.000000,599999.000000,599999.000000,0.000,700.000000,-1.000000,1.400000,1.198823e+05,171.285879,0.000005,0.000000
2017/01/15 01:55:59,1200000000.000000,599999.000000,599999.000000,0.000,800.000000,-1.000000,1.600000,1.796089e+05,224.903565,0.000007,0.000000
2017/01/15 01:56:09,1200000000.000000,599999.000000,599999.000000,0.000,900.000000,-1.000000,1.800000,2.409121e+05,267.536096,0.000001,0.000000
2017/01/15 01:56:18,1200000000.000000,599999.000000,599999.000000,0.000,1000.000000,-1.000000,2.000000,3.007382e+05,300.506518,0.000001,0.000000
2017/01/15 01:56:26,1200000000.000000,119701.000000,119701.000000,0.000,100.000000,10.000000,0.200000,2.484268e-02,0.002249,0.977296,0.000000
2017/01/15 01:56:34,1200000000.000000,240443.000000,240443.000000,0.000,200.000000,10.000000,0.400000,1.332968e-01,0.002665,0.894889,0.000000
2017/01/15 01:56:43,1200000000.000000,360315.000000,360307.000000,8.000,300.000000,10.000000,0.600000,4.526408e-01,0.003508,0.727857,0.000022
2017/01/15 01:56:52,1200000000.000000,479616.000000,478869.000000,747.000,400.000000,10.000000,0.800000,1.522345e+00,0.005815,0.448992,0.001557
2017/01/15 01:57:02,1200000000.000000,600067.000000,574393.000000,25674.000,500.000000,10.000000,1.000000,5.111132e+00,0.012678,0.115583,0.042785
2017/01/15 01:57:12,1200000000.000000,720141.000000,598581.000000,121560.000,600.000000,10.000000,1.200000,8.487530e+00,0.019015,0.007849,0.168800
2017/01/15 01:57:21,1200000000.000000,839317.000000,599969.000000,239348.000,700.000000,10.000000,1.400000,9.605341e+00,0.021211,0.000278,0.285170
2017/01/15 01:57:31,1200000000.000000,961073.000000,599998.000000,361075.000,800.000000,10.000000,1.600000,1.002943e+01,0.022059,0.000026,0.375700
2017/01/15 01:57:40,1200000000.000000,1079157.000000,599999.000000,479158.000,900.000000,10.000000,1.800000,1.024141e+01,0.022483,0.000000,0.444011
2017/01/15 01:57:50,1200000000.000000,1199562.000000,599999.000000,599563.000,1000.000000,10.000000,2.000000,1.037336e+01,0.022747,0.000000,0.499818
2017/01/15 01:57:59,1200000000.000000,119322.000000,119322.000000,0.000,100.000000,25.000000,0.200000,2.458322e-02,0.002247,0.977482,0.000000
2017/01/15 01:58:07,1200000000.000000,240171.000000,240171.000000,0.000,200.000000,25.000000,0.400000,1.323961e-01,0.002662,0.895742,0.000000
2017/01/15 01:58:15,1200000000.000000,359086.000000,359086.000000,0.000,300.000000,25.000000,0.600000,4.451908e-01,0.003488,0.729943,0.000000
2017/01/15 01:58:24,1200000000.000000,479741.000000,479738.000000,3.000,400.000000,25.000000,0.800000,1.600332e+00,0.006003,0.446514,0.000006
2017/01/15 01:58:34,1200000000.000000,599654.000000,588476.000000,11178.000,500.000000,25.000000,1.000000,1.248992e+01,0.027468,0.052367,0.018641
2017/01/15 01:58:43,1200000000.000000,719211.000000,599984.000000,119227.000,600.000000,25.000000,1.200000,2.330942e+01,0.048619,0.000083,0.165775
2017/01/15 01:58:53,1200000000.000000,839225.000000,599999.000000,239226.000,700.000000,25.000000,1.400000,2.459903e+01,0.051197,0.000009,0.285056
2017/01/15 01:59:03,1200000000.000000,959372.000000,599999.000000,359373.000,800.000000,25.000000,1.600000,2.502494e+01,0.052049,0.000000,0.374592
2017/01/15 01:59:13,1200000000.000000,1079656.000000,599999.000000,479657.000,900.000000,25.000000,1.800000,2.523975e+01,0.052478,0.000004,0.444268
2017/01/15 01:59:23,1200000000.000000,1200135.000000,599999.000000,600136.000,1000.000000,25.000000,2.000000,2.537271e+01,0.052744,0.000000,0.500057
2017/01/15 01:59:31,1200000000.000000,120060.000000,120060.000000,0.000,100.000000,50.000000,0.200000,2.518065e-02,0.002252,0.977003,0.000000
2017/01/15 01:59:39,1200000000.000000,239890.000000,239890.000000,0.000,200.000000,50.000000,0.400000,1.325829e-01,0.002663,0.895335,0.000000
2017/01/15 01:59:47,1200000000.000000,359482.000000,359482.000000,0.000,300.000000,50.000000,0.600000,4.445714e-01,0.003484,0.730025,0.000000
2017/01/15 01:59:56,1200000000.000000,478881.000000,478881.000000,0.000,400.000000,50.000000,0.800000,1.565744e+00,0.005924,0.448558,0.000000
2017/01/15 02:00:08,1200000000.000000,599239.000000,593582.000000,5657.000,500.000000,50.000000,1.000000,2.493315e+01,0.052405,0.028636,0.009440
2017/01/15 02:00:19,1200000000.000000,719039.000000,599999.000000,119040.000,600.000000,50.000000,1.200000,4.832480e+01,0.098646,0.000006,0.165554
2017/01/15 02:00:30,1200000000.000000,838900.000000,599999.000000,238901.000,700.000000,50.000000,1.400000,4.958140e+01,0.101159,0.000002,0.284779
2017/01/15 02:00:40,1200000000.000000,958508.000000,599999.000000,358509.000,800.000000,50.000000,1.600000,5.001937e+01,0.102035,0.000000,0.374028
2017/01/15 02:00:49,1200000000.000000,1078616.000000,599999.000000,478617.000,900.000000,50.000000,1.800000,5.024011e+01,0.102476,0.000001,0.443733
2017/01/15 02:00:59,1200000000.000000,1200990.000000,599999.000000,600991.000,1000.000000,50.000000,2.000000,5.037197e+01,0.102740,0.000000,0.500413
